City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,0.65,98,100,1.58,GS,1721395336
1,waitangi,-43.9535,-176.5597,11.01,93,100,11.28,NZ,1721395336
2,thompson,55.7435,-97.8558,18.09,88,0,4.12,CA,1721395337
3,vorgashor,67.5833,63.95,14.92,49,0,7.91,RU,1721395337
4,kidal,18.4411,1.4078,41.04,13,8,3.01,ML,1721395337
5,ust'-charyshskaya pristan',52.3934,83.6635,22.27,82,6,3.53,RU,1721395337
6,adamstown,-25.066,-130.1015,22.14,81,100,12.72,PN,1721395337
7,saint-francois,46.4154,3.9054,30.92,53,0,1.54,FR,1721395337
8,kill devil hills,36.0307,-75.676,25.0,95,100,2.06,US,1721395338
9,khash,28.2211,61.2158,35.99,10,87,10.7,IR,1721395338
10,thurgoona,-36.0451,146.9919,9.33,100,100,3.58,AU,1721395338
11,bethel,41.3712,-73.414,22.78,72,0,3.09,US,1721395050
12,turkmenbasy,40.0222,52.9552,33.43,27,0,8.75,TM,1721395338
13,puerto ayora,-0.7393,-90.3518,21.97,87,84,2.24,EC,1721395339
14,port-aux-francais,-49.35,70.2167,0.13,66,55,3.87,TF,1721395339
15,wailua homesteads,22.0669,-159.378,23.44,76,40,5.66,US,1721395339
16,invercargill,-46.4,168.35,3.34,96,77,0.89,NZ,1721395339
17,kodiak,57.79,-152.4072,9.73,93,100,1.54,US,1721395340
18,vila franca do campo,37.7167,-25.4333,23.23,59,0,0.72,PT,1721395340
19,fyodorovka,53.6314,62.7078,23.14,59,58,2.68,KZ,1721395340
20,karatau,43.1667,70.4667,30.34,28,30,7.74,KZ,1721395340
21,margaret river,-33.95,115.0667,14.52,66,100,7.68,AU,1721395341
22,hermanus,-34.4187,19.2345,16.56,72,15,11.96,ZA,1721395341
23,touros,-5.1989,-35.4608,27.65,68,34,7.19,BR,1721395341
24,zakamensk,50.3741,103.2863,18.89,73,100,0.7,RU,1721395341
25,nova sintra,14.8667,-24.7167,24.87,85,67,4.62,CV,1721395341
26,tura,25.5198,90.2201,26.29,96,100,1.39,IN,1721395341
27,poronaysk,49.2167,143.1167,12.27,99,100,3.35,RU,1721395342
28,iqaluit,63.7506,-68.5145,3.85,93,75,2.57,CA,1721395342
29,georgetown,5.4112,100.3354,29.97,78,20,3.6,MY,1721395136
30,kruisfontein,-34.0033,24.7314,17.71,44,1,4.94,ZA,1721395342
31,crane,31.3974,-102.3501,24.92,52,72,2.65,US,1721395343
32,kirensk,57.7853,108.1119,21.13,77,50,1.9,RU,1721395343
33,vadso,70.0744,29.7487,16.49,82,40,7.2,NO,1721395343
34,edinburgh of the seven seas,-37.0676,-12.3116,12.67,67,100,4.62,SH,1721395343
35,sile,41.1754,29.6133,32.37,77,9,6.13,TR,1721395343
36,ribeira grande,38.5167,-28.7,24.32,69,20,5.14,PT,1721395343
37,iskateley,67.6803,53.1512,12.53,56,0,7.79,RU,1721395344
38,inongo,-1.95,18.2667,26.35,52,45,2.06,CD,1721395344
39,stanley,54.868,-1.6985,26.51,57,20,5.14,GB,1721395344
40,usogorsk,63.4106,48.6872,24.24,48,59,3.48,RU,1721395344
